file,inboundCount,inKnip,inRoutes,inAssets,score
src/features/chat-mvp/components/PhaseEditorDrawer.tsx,0,false,true,false,5
src/features/chat-mvp/components/ProjectBriefCard.tsx,0,false,true,false,5
src/features/chat-mvp/components/ResponsiveSidebar.tsx,0,false,true,false,5
src/features/chat-mvp/components/StageGuide.tsx,0,false,true,false,5
src/features/chat-mvp/components/StatusIndicator.tsx,0,false,true,false,5
src/features/chat-mvp/components/SuggestionChips.tsx,0,false,true,false,5
src/features/chat-mvp/components/SyncStatusChip.tsx,0,false,true,false,5
src/features/chat-mvp/components/WorkingDraftSidebar.tsx,0,false,true,false,5
src/features/chat-mvp/components/minimal/index.ts,0,false,true,false,5
src/features/chat-mvp/domain/ai.ts,0,false,true,false,5
src/features/chat-mvp/domain/coachingResponses.ts,0,false,true,false,5
src/features/chat-mvp/domain/courseDescriptionGenerator.ts,0,false,true,false,5
src/features/chat-mvp/domain/deliverablesAI.ts,0,false,true,false,5
src/features/chat-mvp/domain/deliverablesMicroFlow.ts,0,false,true,false,5
src/features/chat-mvp/domain/inputQuality.ts,0,false,true,false,5
src/features/chat-mvp/domain/intentDetection.ts,0,false,true,false,5
src/features/chat-mvp/domain/journeyMicroFlow.ts,0,false,true,false,5
src/features/chat-mvp/domain/journeyTemplate.ts,0,false,true,false,5
src/features/chat-mvp/domain/projectShowcaseGenerator.ts,0,false,true,false,5
src/features/chat-mvp/domain/prompt.ts,0,false,true,false,5
src/features/chat-mvp/domain/specificityScorer.ts,0,false,true,false,5
src/features/chat-mvp/domain/stages.ts,0,false,true,false,5
src/features/chat-mvp/domain/suggestionTracking.ts,0,false,true,false,5
src/features/chat-mvp/hooks/index.ts,0,false,true,false,5
src/features/chat-mvp/hooks/useResponsiveLayout.ts,0,false,true,false,5
src/features/chat-mvp/hooks/useSidebarState.ts,0,false,true,false,5
src/features/deliverables/DeliverablesProgress.jsx,0,false,true,false,5
src/features/ideation/BlueprintStateMachine.js,0,false,true,false,5
src/features/ideation/ButtonFramework.js,0,false,true,false,5
src/features/ideation/ConversationFlowManager.js,0,false,true,false,5
src/features/ideation/IdeationFlowController.js,0,false,true,false,5
src/features/ideation/removeEmojis.js,0,false,true,false,5
src/features/learningJourney/CreativeProcessJourney.tsx,0,false,true,false,5
src/features/learningJourney/StudentCreativeProcess.tsx,0,false,true,false,5
src/features/learningJourney/components/AITutor.tsx,0,false,true,false,5
src/features/learningJourney/components/AdaptiveLearning.tsx,0,false,true,false,5
src/features/learningJourney/components/AssessmentCriteria.tsx,0,false,true,false,5
src/features/learningJourney/components/DataAnalytics.tsx,0,false,true,false,5
src/features/learningJourney/components/IterationAnalytics.tsx,0,false,true,false,5
src/features/learningJourney/components/IterationDialog.tsx,0,false,true,false,5
src/features/learningJourney/components/IterationHistory.tsx,0,false,true,false,5
src/features/learningJourney/components/PeerEvaluation.tsx,0,false,true,false,5
src/features/learningJourney/components/PhaseBuilder.tsx,0,false,true,false,5
src/features/learningJourney/components/PhasePanel.tsx,0,false,true,false,5
src/features/learningJourney/components/PhaseTimeline.tsx,0,false,true,false,5
src/features/learningJourney/components/ReportGenerator.tsx,0,false,true,false,5
src/features/learningJourney/components/RubricBuilder.tsx,0,false,true,false,5
src/features/learningJourney/components/StudentProgress.tsx,0,false,true,false,5
src/features/learningJourney/components/SupportResources.tsx,0,false,true,false,5
src/features/learningJourney/components/TeacherGuidance.tsx,0,false,true,false,5
src/features/learningJourney/hooks/useCreativeJourney.ts,0,false,true,false,5
src/features/learningJourney/index.ts,0,false,true,false,5
src/features/learningJourney/types.ts,0,false,true,false,5
src/features/learningJourney/utils/colorMappings.ts,0,false,true,false,5
src/features/publish/PublishPro.jsx,0,false,true,false,5
src/features/quickstart/QuickSpark.tsx,0,false,true,false,5
src/features/quickstart/QuickSparkActions.ts,0,false,true,false,5
src/features/quickstart/QuickSparkPrompt.ts,0,false,true,false,5
